card name,question,answer
"Dread Thicket","What does 'attack out of this site' mean?","Take exactly one step away from the site, then attack. It doesn't matter if the unit took steps before entering the Dread Thicket, merely that they take exactly one step away from the Thicket and then attack."
"Dream-Quest","Can I cast this on my Avatar, since they are a spellcaster?","Your avatar can't be disabled per their characteristics. Thus, they won't be able to go to sleep, and therefore won't be able to wake up. If you cast this on your Avatar, it will have no effect."
"Drought","Can Floodplain still flood a site affected by Drought?","Yes. See '((Example - Flood vs. Drought))' in the codex."
"","How do Drought and Flood interact?","See '((Example - Flood vs. Drought))' in the codex."
"Druid","What is the updated text for the front of the Druid?","Tap -> Play or draw a site. If this is your first turn, summon Tawny here. Tap -> Summon Bruin here. Flip this card."
"","Does the Druid's flip side ability work with Poisonous Dagger?","No. The site itself gains the ability and is doing the damage."
"","Can the Druid's flip side ability give the Druid kill credit?","No. Only units can get kill credit, and the site is source of the damage. The triggered ability is the site's ability, not the Druid's. See the '((kill credit))' codex entry for more details."
"","If a site loses its abilities, does the Druid's flip side ability still apply? Can this affect Bedrock?","No. The Druid grants an ability to the site. If the site is silenced (or can't be modified in the case of Bedrock), then it loses the ability and will not deal damage."
"Duplicator","How does this ability impact my collection?","You may include any cards you wish in your collection, following normal deckbuilding rules. If you have 0 copies of a unique card in your deck, you may include 1 ))copy(( in your collection. If you have 2 copies of a unique card in your deck, you cannot include any copies in your collection."
"Dwarven Digging Team","If I have Dwarven Digging Team in play, can I choose to summon minions underground without a printed Burrowing ability?","No. The units don't gain Burrowing until they're at nearby sites, and you must choose the summoning location when you cast the spell. When you cast the minion spell, it doesn't have burrowing yet, and thus you cannot pick an underground location."
"Earthquake","What does 'normal size' mean?","Anything that occupies exactly 1 location."
"","Does this carry along oversized units or auras that occupy more than one square?","No."
"","If the 2x2 area includes some sites and some void, can you rearrange the sites into the void squares?","No. You can rearrange sites with other sites as you wish, but the void squares must remain the same."
"East-West Dragon","Does diagonal movement include 'sideways' movement?","No."
"Edge of the World","What happens if Edge of the World's ability is lost (e.g. Smokestacks of Gnaak), then Edge of the World gets surrounded by sites, then its ability is regained (e.g. Smokestacks of Gnaak moves away)?","In this rare case, Edge of the World would destroy itself."
"","What happens if an effect causes edge of the world to not be adjacent to the void?","The effect does not resolve. Examples:
If you try to move Cloud City to the only void square adjacent to Edge of the World, Cloud City won't move.
If you try to play a site from your hand, it won't work and your site will remain in your hand.
If you use Earthquake to rearrange sites in a way that Edge of the World isn't adjacent to void, the entire rearrangement fails (and then you still try to burrow.)
If you have two Magellan Globes in play at the same location and they're the only thing keeping Edge of the World adjacent to void and they are Dispelled, one is destroyed and other isn't."
"Enchantress","Turning auras into minions!? Is this real?","Yes, indeed. Enchantress is a very versatile Avatar, and one that twists the rules to create very interesting games. Be sure to check these FAQs as well as the auras you're looking to animate. Since many auras occupy a 2x2 area in the realm, you may want to learn about oversized units as well."
"","What is the proper timing of resolution for this effect?","Whenever you cast a spell, before that spell resolves, but after targets are specified. See the 'storyline' entry for more details."
"","Can you animate your opponent's auras?","Yes, as long as you can target them (i.e. they are in the same region as the Enchantress). Your opponent still controls the aura minion."
"","Can any of my spellcasters cast a spell and still benefit from my avatar's ability?","Yes! As long as you control the spellcaster, the game sees it as a spell '((you))' cast, meaning the player."
"","Do animated aura change size?","No."
"","If Magellan Globe is in play and an Oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","Since Magellan Globe is an ongoing effect that connects the top and bottom edges, the oversized unit can occupy 2 locations on the top row and 2 locations on the bottom row. Ensure that game state is clear, using notes as needed."
"","If Polar Explorers or Ruler of Thul are in play and an oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","This ability only allows movement across the borders, not ongoing occupation. Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied."
"","If Magellan Globe leaves play when a card is spanning the edge of the realm, what happens?","Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied."
"Entangle Terrain","Does this affect subsurface units, as well as surface?","Yes, since it doesn't say 'atop.' Note that it doesn't affect minions in the void, since the void isn't a site."
"Erik's Curiosa","Do I really have to rip it to pieces?","Please see the golden rule! The point is to actually, literally rip the card up, so it will never be playable again. It is banished after you rip it."
"","How does this work in a tournament, especially in best of 1 games, when I rip this?","See the rules for that specific tournament, but by default the card is playable. Tournament organizers have latitude to set rules for their events, but one reasonable approach is that you use a deck missing one card for the rest of the tournament (and it's legal to do so)."
"","If my opponent gains control of my Erik's Curiosa and then they rip it, who gets to pick the card?","They get a card of the controller's choice from the controller's collection (so they get to pick). Hopefully you can still be friends! (They must give you a moment to concede before they rip it.)"
"","Does this effect let me break the normal restrictions on deck legality? e.g. duplicate Unique card, or duplicate any site for Pathfinder?","The card limits exist only when the game starts; once the game begins, various effects can change your deck composition. So, yes, you are free to get an extra copy of a Unique card via Erik's Curiosa, as long as the card is actually in your collection."
"Ersatz Platz","How do I resolve this effect?","When you would use your avatar's ability (or another ability to play sites without restriction), you may choose to play that site from your collection and banish Ersatz Platz."
"Evil Presence","The term 'summon' means 'enter the realm.' So, does that mean I can play minions here for free?","No. This effect simply provides additional locations where you may summon your minions."
"Faith Incarnate","Does this effect count all wards in the realm, or only ones I control?","It counts all wards in the realm, on any unit or site!"
"Falling Star","If my summoned minion has a genesis effect, does the genesis resolve before the strike?","Yes, resolve the genesis first, including any deathrites. Then, the 'strike each other unit' effect resolves."
"","Are the strikes against other units all simultaneous?","Yes."
"","How does this resolve if I summon an oversized minion?","At least one of the summoning sites must include an affected site. The 'strike each other unit where it lands' effect occurs on one affected site of your choice (that the summoned minion occupies)."
"Far East Assassin","When you use the ability, what happens to the 'thrown' artifact?","It is no longer carried by the Assassin, and is uncontrolled in the target's location. Any unit may pick it up normally (including the Assassin, if it happens to be in that location)."
"","Does the Assassin lose Stealth if it uses its ability?","Yes. It's an activated special ability, so Stealth is lost per the normal Stealth rules."
"Fey Changeling","Can this be summoned to an inhospitable location (e.g. underground) and die, but still have a chance to use its genesis ability first?","No. You cannot choose to summon a minion underground, underwater, or in the void unless it has the appropriate ability."
"","The term 'summon' means 'enter the realm.' So, does that mean I can play this minion for free?","No. This effect simply provides additional locations where you may summon this minion."
"Fire Harpoons!","Does the 'adjacent Water site' need to be in the same region as the caster?","No. Because the Water site is not targeted, and because the card text uses 'site' instead of 'location,' the site does not need to be in the same region as the caster."
"","Can I cast this spell without a target just to draw a card?","No. To cast a spell, you must specify all targets."
"","Does the target need to be in the same region as the caster?","No. Normally the answer is yes, but the card text 'above or ((below))' means that normal targeting restrictions are ignored, and the caster can be in any region (surface, underground, underwater, or in the void). As long as there is an adjacent Water site to the caster and a minion occupying that water site, it will get pulled to the caster's location."
"Firebolts","What does 'one at a time' mean?","Resolve the first bolt (including any deathrite or other 'kills' abilities), then resolve the next one, then resolve the 3rd one. Each bolt must go in the same direction."
"Fisherman's Family","Are these family cards of Castle Servants, Common Cottagers, Blacksmith Family, and Fisherman's Family considered Air, Earth, Fire, and Water spells, respectively?","Yes. You can see the spell's colored frame matches those elements, so Castle Servants is an Air spell, Common Cottagers is an Earth spell, Blacksmith Family is a Fire spell, and Fisherman's Family is a Water Spell."
"Flagellant","If damage is prevented, do I still heal?","No. Flagellant must actually take 1 or more damage for you to heal."
"","If Flagellant takes 5 damage, do I heal more than 1?","No, just 1. But if Flagellant took 1 damage separately five times, e.g. Abyssal Assault or Arcane Barrage, you would heal 5."
"Flame Wave","Can the grid pattern be flipped horizontally?","Yes. You pick the leftmost or rightmost column, and that is where the Flame Wave starts."
"","Can the grid pattern be rotated 90 degrees?","No."
"Flamecaller","Is the projectile considered fire damage?","Yes."
"Flaming Sword","If the attack damage was increased or decreased, does the splash damage include the change?","Yes. For example, Critical Strike will splash double damage."
"","If a unit has two Flaming Swords, do they each splash damage?","Yes. Have fun dual wielding!"
"","Is the splash damage a strike?","No. It's damage done by the sword artifact."
"","Does the splash damage occur whenever the unit strikes?","Yes. For example, that includes Grapple Shot or other strikes, not just attacks from the Move and Attack basic ability."
"","If the struck unit isn't an enemy, is any damage splashed?","No. If there's no 'struck unit,' then it has no location. Also, there are no 'other enemies' when there's no enemy initially. See '((enemy))' in the codex."
"","If the Battlemage with a Flaming Sword attacks one enemy, and then another enemy dies as a result of the Flaming Sword, does the Battlemage get to draw a card?","Yes. An attack was made, and then a minion was killed. As long as your attacking unit used the Move and Attack ability and then got kill credit, this ability triggers."
"Flanking Maneuver","Do the locations need to be in the same region?","No. The squares merely need to be a Knight's move apart. Teleportation ignores normal movement restrictions."
"Flood","How do Drought and Flood interact?","See '((Example - Flood vs. Drought))' in the codex."
"Floodplain","Can Floodplain still flood a site affected by Drought?","Yes. See '((Example - Flood vs. Drought))' in the codex."
"","Can I use Floodplain before Maelström triggers?","No. Floodplain is an activated ability, which can only be activated during your Main Phase."
"Free City","Can my Free City be struck by opposing units, and if so, will it take damage?","Yes, it can be struck, and any strike damage to your Free City will cause your avatar to ))lose(( the same amount of life."
"","How do the strikes work?","Normally, only units can strike, but card text allows the Free City site to strike as if it were a unit with 3 power."
"","Can Free City die?","It's striking as if it were a unit, but it's still a site. Therefore, it won't die due to damage. It can still be destroyed by a specific destruction effect (e.g. Sinkhole), but it won't die due to taking damage."
"","When can it attack?","Free City's ability is a passive ability that gives it the option to attack and defend 'normally' once per turn, as if it were a 3 power unit (while actually remaining a site). Therefore, it can only attack on your turn, and defend (presumably on your opponent's turn) when a unit or Free City itself is attacked by an enemy unit occupying Free City. If Free City would somehow have the chance to both attack AND defend on your turn, it can only do one."
"","What can it attack?","The key word is 'here.' Clearly burrowed units are 'here.' Airborne and Stealthed units are also 'here.' But, to attack Airborne or Stealth, a unit needs some special ability (e.g. Airborne, Ranged, etc.) Since Free City doesn't have those abilities, it can't actually target Airborne or Stealthed units with an attack."
"","How does the attack work?","Since the ability to attack is granted by a card effect and not a basic ability, no tapping is needed, but it's still an attack. Therefore, players may declare defenders for the attack normally."
"","Can Free City attack the turn it enters play?","Yes, because only minions are subject to summoning sickness."
"","If an oversized unit occupies Free City while it attacks a different site, can Free City defend against that attack?","No, since the attack is not happening on Free City."
"Frontier Settlers","Can Frontier Settlers play a site that isn't adjacent to your other sites?","Yes."
"Geomancer","When I play an Earth site using the second ability, do I also place a rubble in an adjacent void?","No. You only place a rubble if you play an Earth site using the first ability."
"","When I play an Earth site using the first ability, where does the rubble appear?","The rubble must be placed adjacent to your Geomancer. If there's no void adjacent to your Geomancer, then no rubble is placed."
"","Does Mirror Realm (copying an earth site) or Valley of Delight (choosing earth) count for Geomancer's first ability?","Yes. Mirror ))Realm(( works because it applies as it enters the realm. Valley of Delight works because the Genesis effect of the site interrupts the resolution of the Geomancer's ability; when the second part of Geomancer's ability actually resolves and looks at the site, the site is indeed an earth (E) site. See '((Splitting Events on the Storyline))' for more details on Valley of Delight interaction, analogous to the Tawny example and splitting the Druid's ability."
"Ghost Ship","If I teleport my Ghost Ship from the void to a site, does its ability trigger?","Yes."
"","If I summon a Spirit from my opponent's cemetery, do I control it?","Yes. (And as usual for an explicit summon effect, you don't need threshold and you don't pay mana.)"
"Giant Shark","Will it fight units that are Airborne or Stealthed?","Yes. This isn't an attack (which has targeting restrictions), but actually a fight (which simply specifies who fights based on card text)."
"","What path can I choose when resolving this ability?","See ((Moving to a Specific Location Via a Special Ability or Magic)) in the Codex."
"","Will it fight your own units?","Yes."
"","Does 'enters' include minions that are summoned?","Yes."
"","If a unit moves within the same site (e.g. surface to underwater, or underwater to surface), does Shark trigger?","No, since the unit is not entering or moving between different sites."
"","What happens if I summon my minion with Genesis into my opponent's Shark's body of water?","See the storyline codex entry for details."
"","Can the Shark's path include movement from surface to underwater, or underwater to surface, if needed?","Yes, as long as the path specified is the fewest steps possible to the target."
"","If a Shark moves through a Silence aura, what happens?","The movement and fight still occur. The specific resolution is: Unit enters the water site, Shark's ability triggers. You specify the movement steps to reach the target, and they all go on the Storyline. Shark starts moving. It enters the Silence aura, but the effects of the ability are still on the Storyline and aren't removed, so they continue resolving normally."
"Gilded Aegis","A minion with Gilded Aegis is on a site chosen for Scorched Earth. The Aegis and the minion are being destroyed simultaneously. Does the Aegis have a chance to save the minion before it's destroyed?","Yes."
"","If forcefully burrowed without burrowing, will a unit with Gilded Aegis still die?","Yes."
"Gilman House","Is this effect limited to once per turn?","Nope! You may use it as many times as you want in a turn, if you meet the threshold requirement. Of course, in Constructed play, you'll be limited to four, since you can have at most four Horrible Hybrids in your collection."
"Gnome Hollows","If I have Crusade or House Arn Bannermen affecting my Gnome Hollows, may I summon a 2-power minion there?","Yes. It's first summoned (enters the realm), then ongoing effects are applied (e.g. Crusade)."
"","If Megamoeba starts at 2 power, can it move into Gnome Hollows (thus getting to 3 power)?","Yes. First, Megamoeba enters, then it grows in power immediately after entering."
"","If the most direct path is blocked (Gnome Hollows, Wall of Ice) will the grappling unit move around those obstacles to reach its target?","No. 'Dragged' is equivalent to 'Pull,' and 'Pull' requires each location entered to be closer to the destination. Making any detours wouldn't be getting closer to the Avatar, so the unit cannot take that path."
"Golden Dawn","How do I resolve this effect?","Deal face up to your back row one at a time. Then, shuffle any non-minions and put them on the bottom of your deck. Now all the minions are summoned simultaneously; resolve any effects of those minions being summoned, e.g. genesis effects. Finally, check to see if you're at Death's Door now, and if so, all the summoned minions gain Charge."
"Grapple Shot","The alpha and beta text is different, which should I use?","The Beta text is correct."
"","Do I resolve all the steps at once, or can effects (e.g. Bottomless Pit) interrupt the movement?","See the storyline codex entry for details."
"","Can a disabled unit Grapple Shot?","No, since it would be shooting a projectile, and disabled units can't do that."
"","If I Grapple Shot a minion with Submerge through an area affected by Mariner's Curse, what happens?","When the Grapple Shot projectile hits the unit, the game adds specific movement steps for the ally to the Storyline: Move A (surface) -> B (surface), Move B (surface) -> C (surface). Then, we start resolving those steps. If Mariner's Curse is on site B, once the unit being dragged reaches site B, it will be submerged, and live. Then the game tries to resolve Move B (surface) -> C (surface), which fails, since the unit isn't on the surface of site B anymore. Thus, there's no strike from Grapple Shot since it didn't reach the hit unit's location."
"","If the most direct path is blocked (Gnome Hollows, Wall of Ice) will the grappling unit move around those obstacles to reach its target?","No. 'Dragged' is equivalent to 'Pull,' and 'Pull' requires each location entered to be closer to the destination. Making any detours wouldn't be getting closer to the Avatar, so the unit cannot take that path."
"Great Old One","How does Drought interact with Great Old One?","These are both passive effects, so whichever was played last takes precedence."
"","What does it actually mean to permanently flood the realm, including voids?.","All sites (including rubble) are flooded for the rest of the game, even sites that enter the realm later."
"Great Wall","The foil and non-foil beta cards have different text. Which is correct?","The non-foil beta text is correct. You may use a foil beta Great Wall in tournament play (or the alpha version), but it must be played with the non-foil beta text; ensure your opponent knows the proper text when it's played."
"","Does this stop all kinds of movement through the top border (e.g. Grapple Shot), or just the Move and Attack basic ability?","The Great Wall will stop most kinds of movement on the surface, with a few notable exceptions. Teleportation doesn't cross borders, and if a unit 'moves as if adjacent' (e.g. Waypoint Portal), that also doesn't cross borders. Finally airborne units can fly over the wall as they are not moving 'on the ground.'"
"","The alpha and beta text is different, which should I use?","The beta text is correct."
"Grigori Rasputin","How do I resolve this ability?","Rasputin must be in your cemetery to use this ability. Then, choose the Evil ally you will banish, which may be anywhere and not limited to your own sites. Since Banishing is the cost of the activated ability, resolve the whole activated ability before actually banishing the minion. (This is analogous to the '((Sacrifice))' rules.) Rasputin gains the printed power and abilities of the ally. Resolve Genesis abilities and any 'enter the realm' abilities. Finally, the Banished ally is actually removed from the realm. (Place it under Rasputin as a reminder of the current effect.)"
"Grim Reaper","How does this ability work?","When Reaper kills a minion, the minion is banished instead of dying. In addition, any copies of that minion in play (regardless of who controls them) are also banished. Finally, you search the owner's library of the minion that was killed (and only that player)."
"Grösse Poltergeist","If a unit is carrying the animated artifact, who retains control?","When the artifact is animated, it becomes a minion, and thus cannot be carried. The controller of Grösse Poltergeist gets control."
"","If the unit carrying the animated artifact can also carry minions, who retains control?","Grösse Poltergeist says you gain control, but the game rules say that anyone carrying the artifact gains control. Grösse Poltergiest takes precedence due to the golden rule, and the controller of Grösse Poltergeist gets control."
"Guardian Angel","Can you 'fly to' a minion already sharing your location?","No, that's not 'flying to.' Summon the Guardian Angel to a different location!"
"","What path can I choose when resolving this ability?","See ((Moving to a Specific Location Via a Special Ability or Magic)) in the Codex."
"Guile Sirens","Can it target a unit in a different region?","No. Targeting (by default) requires the source and the target to be in the same region."
"","Does the target minion use its enhanced move abilities?","Yes. When an effect has a unit 'take steps,' it uses its enhanced move abilities granted by keywords such Voidwalk, Burrowing, Submerge, and Airborne."
"","Does it tap the target minion? Can this movement be intercepted?","No and no. This isn't the Move and Attack basic ability, which is what requires tapping and can be intercepted."
"","Consider the group of sites below. An oversized minion occupies 1-2-4-5. Guile Sirens is #5. Can the oversized minion be pulled in any way?","Yes. When pulling or pushing an oversized unit, choose a single location the oversized unit occupies (and meets the requirement of the effect), and push/pull from there. So, you could choose Site 2: Oversized minion is pulled South, and ends up at 4-5-7-8. OR, choose Site 4: Oversized minion is pulled East, and ends up at 2-3-5-6. OR, choose Site 5: Oversized minion isn't pulled at all."
"","Is the ability mandatory?","Yes. It doesn't use the word 'may.'"
"Harbinger","Does Harbinger's ability combo with other effects that allow you to cast minions, e.g. Elder Ruins, Troubled Town, Peculiar Port, etc.?","Yes! It's effectively a passive ability that can be used whenever you cast a spell on your turn. The golden rule, baby!"
"","When I determine my three random squares, what if I roll doubles or triples?","Reroll any duplicated results until you have three ))unique(( squares."
"Harpyon Urge","What path can I choose when resolving this ability?","See ((Moving to a Specific Location Via a Special Ability or Magic)) in the Codex."
"Haystack","Does this apply if my opponent is searching my deck as well?","Yes! Any time your opponent is searching their deck or your deck, they only search the top three cards."
"Headless Haunt","What if my Headless Haunt tries to teleport into an illegal location? (e.g. Gnome Hollows)","The teleport effect fails, and it remains where it was."
"Highland Falconer","What does 'shuffle if needed' mean?","If you searched your spellbook, shuffle it. If you end up summoning a beast from your hand, you may still have searched your spellbook if you wanted."
"Horn of Caerleon","If my minion gains charge from the Horn to Move and Attack and then leaves the Horn's range, can it finish the attack?","Yes, as the minion has already tapped, the rest of the Move and Attack will resolve. Once a charge has been sounded in the heat of battle, there's no stopping it!"
"Howl from Beyond","How do I resolve this effect?","Deal face up, one at a time. Then, draw the voidwalk minions and Monsters, and banish the rest. No minions actually 'enter' the realm with this effect."
"Ice Lance","If Ice Lance doesn't hit anything at the first location where the projectile appears, and then hits something at the 2nd location, how much damage does it do at that 2nd location?","2 damage at the 2nd location. Ice Lance's damage decreases based on locations the projectile enters, not based on how many things it hits or doesn't hit."
"Ignis Rex","What is a fire card?","Fire sites and fire spells are fire cards. See the 'element' codex entry for more details."
"","What is fire damage?","Damage from a fire card."
"Imperial Road","If I play a Village on my opponent's turn via Imperial Road, can I pay 1 mana to summon a Foot Soldier?","The genesis effect triggers, but you don't have any mana available on your opponent's turn, so no."
"Imposter","Can Imposter wear masks of Avatars with pre-game or setup abilities, and if so, what happens?","Yes, you can wear masks of those avatars, and you simply ignore their pre-game or setup abilities since the game has already started by the time you put on the mask. For example: You can use [[Pathfinder]]'s ability even though your atlas has duplicate sites. You don't get to pick a Unique Dragon as [[Dragonlord]]. (Probably not a good choice of masks.) You don't roll for summoning portals as [[Harbinger]]. (Probably not a good choice of masks.) Your decks and card sleeves remain as-is for [[Magician]].  (Probably not a good choice of masks.)"
"","What rarity are Avatars for purposes of including them in my collection?","Consider Avatars unique for purposes of including them in your collection."
"","What happens if I impersonate the Druid and then use the ability to flip?","You will summon Bruin, flip, ... and then immediately lose the game because you no longer have an Avatar in play! Maybe don't include Druid in your collection?"
"Infiltrate","If my Infiltrated unit attacks my opponent's undefended site, do I retain control of it?","No. Once the infiltrated minion no longer has stealth, you ))lose(( control of it."
"Interrogator","When does the enemy avatar have the opportunity to pay life?","Immediately after the strike, before deathrites resolve. For example, if your strike puts them to 2 or less life, they will not be able to pay 3 life."
"","What happens if I strike for 0 damage?","A strike for zero damage is still considered a strike, so it will still trigger Interrogator's ability."
"Into the Abyss","Normally pull effects can't cross regional boundaries. Can I actually pull the target minion into the void?","Yes, obviously!"
"Iron Shackles","Can I target a burrowed minion or a voidwalk minion?","Not unless you have a burrowed spellcaster or a spellcaster in the void. Since the effect uses the word 'target,' the spellcaster must be in the same region as the target. (There are four regions: surface, underground, underwater, void.)"
"Island Leviathan","Does it turn into a Monster minion?","Yes. It becomes a minion with the Monster type, and no longer a site."
"","If the flooded Rubble gets replaced with a site, is the new site also flooded?","No."
"","When it awakens, is it summoning sick?","Assuming it was in play prior to the turn it awakened, it is not summoning sick (since it was already under your control prior to this turn)."
"","Is the ability optional?","Yes. It is an activated ability with no cost and a requirement of 8 water threshold. Like all activated abilities, you can only activate it during your Main Phase when nothing else is happening, but you are not required to activate it."
"","Does it continue to provide water affinity after it transforms into a Monster?","Yes. The flooded rubble does not provide any affinity to you (since you don't control it), but the Island Leviathan itself does provide affinity, since that's aligned with the golden rule. Obviously if the Monster dies, then you lose that affinity."
"Jack the Ripper","Is Jack the Ripper a Monster as well as a Mortal?","Yes! The inclusion of the capitalized 'Monstrous' in his typeline makes him a Monster (and thus Evil)."
"Jihad","The term 'summon' means 'enter the realm.' So, does that mean I can play minions here for free?","No. This effect simply provides additional locations where you may summon your fire minions."
"Joust!","When exactly do the minions fight?","After both units have taken their step they will fight from their new locations. If either doesn't move, they haven't passed each other and therefore no joust takes place."
"Kairos the Archivist","How do I 'archive the state of the realm' ?","Take a snapshot of the cards in the realm. Players should literally take a picture of it on their phone! If you include this card in your deck, you should be prepared to take a picture during the game. Make additional notes as needed to track things like whether a unit has used its Pick Up and Drop ability for the turn, the controller of a Mesmerized minion, or if there's an ongoing effect on a minion like ))Power(( of Flight. Players are expected to make additional notes as needed to be able to recreate the state of those cards, if a picture alone is insufficient."
"","When I 'archive the state of the realm,' does that include players' life totals?","No. Players' life totals will not revert when Kairos's deathrite resolves."
"","When I 'archive the state of the realm,' does that include cards outside the realm?","No! It does not include any other zone. The thing to focus on are literally the state of cards in the realm right now."
"","Do I archive global effects like Critical Strike?","No, since it's not an 'archived card,' but instead an ongoing effect that hasn't yet been applied. The test for inclusion in the archive is if the effect is currently applying to a card in the realm. E.g. Whether or not you've discarded a card for Wizard's Den would be included in the archive."
"","When a card is 'returned to its recorded state,' does it enter the realm?","No, it is not entering the realm. Genesis, Stealth, Lance, etc. will not trigger and sites do not generate mana."
"","How do I 'return all archived cards to their recorded state' ?","Players should look at the picture they took, then return each card to where it was before, though banished cards can never be returned; sometimes knowledge is truly lost. Once Kairos enters the realm, cards will be tracked across zones solely for the purpose of his deathrite. He's that good of a librarian! If tracking a card across zones is not possible due to hidden information, e.g. shuffled into your deck, then the player may return the card from any zone (but never from banished)."
"","When we 'return all archived cards to their recorded state,' do all changes happen simultaneously?","Yes."
"","When a card is 'returned to its recorded state,' does it move or enter the location?","No. It does not enter the location; simply place it wherever the picture shows. This is not movement. It's like we're rewinding time, not actually moving cards around."
"","Let's say the realm is archived, then I cast an artifact into my unit's hands, then my unit moves. Then Kairos dies. Does my unit bring its carried artifact when it returns to its recorded state?","No! Carried artifacts do move with their bearer whenever their bearer moves, but when you 'return to its recorded state,' that's not considered movement! It's a one-of-a-kind direct placement effect. Therefore, the artifact gets left behind, wherever it is. It's like we're rewinding time, not actually moving cards around."
"","When archived cards are returned to the realm, does that include tokens that were archived?","Yes! If a token was in the realm and archived, it will return to its recorded state when Kairos dies. If the token left the realm (and was thus banished), the token still returns to its recorded state, because there are always unlimited copies of tokens available to the players."
"","When we 'return all archived cards to their recorded state,' do all non-archived cards (e.g. cards that entered the realm after Kairos) remain unchanged?","Yes. They remain where they are, though if a recently ))played(( or ))moved(( site is in the way of a site that's returning to its recorded state, the site that's in the way will get banished! See below for more examples and details."
"","When we 'return all archived cards to their recorded state,' what if non-archived sites are in the way?","The site that's in the way gets banished! For example, the realm is archived, then Cloud City moves, then a Lone Tower site fills in the square where Cloud City was archived. Then Kairos dies. The Lone Tower is banished and Cloud City returns to its recorded state!"
"","What about Earthquake or Rubble?","If Kairos archived the realm with Rubble in it, then Rubble will replace whatever sites are there when cards return to their recorded state, banishing any sites in the way! For Earthquake, imagine the following sequence: The realm is archived with sites on squares 3, 8, and 9. Then, a Lone Tower is played on square 4. Earthquake gets played, rearranging sites. Kairos dies. The sites now return to their recorded state. That means the sites that were originally on squares 3, 8, and 9 go back to where they were, all simultaneously. The Lone Tower does not change squares because it was not an archived card. If it's now in the way and in square 3, 8, or 9, it will get banished by the site that's returning there. Don't mess with the Archivist!"
"","Can you give a complicated Kairos example?","Enjoy this one: I have an Kettletop Leprechaun on Gnome Hollows in square 8. You have a Cloud Spirit on Cloud City in square 3. The realm gets archived. Then: Cloud City moves to square 9 and you summon Bluecap Knockers there. I cast a Grim Guisarme into the hands of my Leprechaun, who moves to square 9. I cast a House Arn Bannerman into the Gnome Hollows. Then, Kairos dies. All of the following happen simultaneously: My Kettletop Leprechaun returns to square 8; even though it's a Gnome Hollows and the Leprechaun has 3 power due to the House Arn Bannerman, remember that the 'return' effect is not movement and is not considered 'entering.' The Grim Guisarme is not an archived card, and it remains where it is on square 9. Carried artifacts move whenever their bearer moves, but returning is not a movement effect, so the artifact doesn't automatically come with the Leprechaun. The Cloud Spirit and Cloud City return to square 3; this is not movement, and thus Bluecap Knockers does not prevent it. The Bluecap Knockers find themselves in the void and are banished. There is a Grim Guisarme in the void on square 9 now. Had there been a site on square 3, it would have been banished as Cloud City returned to that square. When in doubt, always apply the Golden Rule, but especially with Kairos!"
"","What if there are multiple Kairos's in play?","Whenever a new Kairos archives the realm, that becomes the most recent snapshot for all Kairos deathrite effects. That is, there is only a single archive of the realm at a time. Archivists unite!"
"","What if Kairos dies on The Geistwood?","Since the deathrite effect and genesis effect will be triggered simultaneously, you may order them as you wish. If you resolve the printed deathrite first, archived cards will return to their recorded state, then the printed genesis effect will not resolve, since Kairos is banished. If you resolve the printed genesis first (as a deathrite due to The Geistwood), the realm will be archived, and then when the printed deathrite resolves, it would return to that very recently archived state, and Kairos would be banished."
"","Can your avatar end up in the void after Kairos dies, and if so, what happens?","It's theoretically possible! If it does happen, the mandatory actions rule will apply to you, and if you have a site in hand, you'll be required to play it. The way it could happen is left as an exercise for the reader!"
"","Is the state of the Storyline archived? Does the Storyline get restored to its snapshotted state?","No! The Storyline isn't archived, and it simply continues to resolve normally after Kairos's deathrite. For example, I have Infernal Legion in the realm on square 8. Then I summon Kairos and the realm is archived. The Infernal Legion moves to square 3, and I summon Vatn Draconis. During my End Phase, I have ((simultaneous triggers)) for Infernal Legion and Vatn Draconis. I choose to order the storyline with Vatn Draconis first, then Infernal Legion. So I resolve Vatn Draconis's ability, which kills Kairos. Kairos's deathrite goes on the storyline and resolves before the Infernal Legion ability. When I archived the realm, the storyline was empty. But that doesn't matter because the storyline is different from the realm. We return cards to their recorded state, placing the Infernal Legion back on square 8, and then continue resolving the current storyline, so the Infernal Legion's ability resolves when it's on square 8, even though the ability was added to the storyline when the Legion was on square 3."
"Karkemish Chimera","Units A, B, and C are being attacked; can unit D defend the attack and protect A, B, and C, or just one of them?","Just one; you must choose unit A, B, or C to be defended."
"","Units A, B, and C are being attacked; can unit A defend the attack against B, so that B takes no damage?","No, since A is already being attacked, they cannot take the Defend reaction."
"","Do each of the attacked units take 6 damage, or is the damage split as the attacker chooses?","The damage is split as the attacker chooses."
